experiment,feature_set,model,T,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
residual_T7_top30_source_base-et_leaf3_res-hgb_slow_raw,top30_source,base_et_leaf3_res_hgb_slow,7,294,275,5,6.324575488474483,11.078895024632834,0.5516746722787352,0.7427852629756787,0.1766445920800306,residual_temporal,False,et_leaf3,hgb_slow,84.0,210.0
residual_T7_raw_source_base-et_leaf3_res-et_leaf2_log1p,raw_source,base_et_leaf3_res_et_leaf2,7,1043,275,5,5.6871548396839335,11.085514786059031,0.551138753605838,0.7887862439052538,-1.2616606559845425,residual_temporal,True,et_leaf3,et_leaf2,84.0,959.0
direct_T7_tabular_plus_top30_source_et_leaf3_raw,tabular_plus_top30_source,et_leaf3,7,294,275,5,6.715147210791205,11.115937552385907,0.5486716893162304,0.7175661406191397,0.09515688851096211,direct_temporal,False,,,,
residual_T7_top30_source_base-et_leaf3_res-et_leaf1_log1p,top30_source,base_et_leaf3_res_et_leaf1,7,294,275,5,5.9519829274593885,11.123263939824099,0.5480765625941801,0.7761732206226019,-0.6540508362571242,residual_temporal,True,et_leaf3,et_leaf1,84.0,210.0
residual_T7_top30_source_base-et_leaf3_res-hgb_slow_log1p,top30_source,base_et_leaf3_res_hgb_slow,7,294,275,5,6.2558510152224045,11.142846383256803,0.5464839446040564,0.7415891059115434,-0.7559742515616739,residual_temporal,True,et_leaf3,hgb_slow,84.0,210.0
residual_T7_raw_source_base-et_leaf2_res-et_leaf2_log1p,raw_source,base_et_leaf2_res_et_leaf2,7,1043,275,5,5.64894972363762,11.147581592677927,0.5460984147818865,0.7929367300424107,-1.4343255766423433,residual_temporal,True,et_leaf2,et_leaf2,84.0,959.0
residual_T7_raw_source_base-et_leaf2_res-et_leaf1_log1p,raw_source,base_et_leaf2_res_et_leaf1,7,1043,275,5,5.651717916566897,11.149932357942333,0.5459069600568351,0.7930186665127954,-1.6892542275310767,residual_temporal,True,et_leaf2,et_leaf1,84.0,959.0
residual_T7_top30_source_base-et_leaf3_res-rf_leaf2_raw,top30_source,base_et_leaf3_res_rf_leaf2,7,294,275,5,6.361507122975176,11.183337480412264,0.5431819647320622,0.7565961743746575,0.2496746510188852,residual_temporal,False,et_leaf3,rf_leaf2,84.0,210.0
direct_T7_tabular_plus_top30_source_et_leaf2_raw,tabular_plus_top30_source,et_leaf2,7,294,275,5,6.66016386723304,11.18562625201609,0.5429949616768579,0.7211551888289431,0.2241276056015332,direct_temporal,False,,,,
residual_T7_raw_source_base-et_leaf3_res-et_leaf1_log1p,raw_source,base_et_leaf3_res_et_leaf1,7,1043,275,5,5.80698603928526,11.237529434094618,0.5387439617587346,0.7773988055739881,-1.6333204456215624,residual_temporal,True,et_leaf3,et_leaf1,84.0,959.0
residual_T7_top30_source_base-et_leaf2_res-rf_leaf2_log1p,top30_source,base_et_leaf2_res_rf_leaf2,7,294,275,5,5.890543941055443,11.246295601391639,0.5380240482355411,0.77939643980266,-1.1604301885968744,residual_temporal,True,et_leaf2,rf_leaf2,84.0,210.0
residual_T7_top30_source_base-et_leaf2_res-hgb_slow_log1p,top30_source,base_et_leaf2_res_hgb_slow,7,294,275,5,5.918371663806238,11.251270235210095,0.5376152612796627,0.7725155073425465,-1.1810754302948905,residual_temporal,True,et_leaf2,hgb_slow,84.0,210.0
residual_T7_top30_source_base-et_leaf1_res-hgb_slow_log1p,top30_source,base_et_leaf1_res_hgb_slow,7,294,275,5,5.702654267495009,11.263614673660008,0.5366000850274912,0.7958091226450478,-1.6240975573024168,residual_temporal,True,et_leaf1,hgb_slow,84.0,210.0
residual_T7_raw_source_base-et_leaf1_res-hgb_slow_log1p,raw_source,base_et_leaf1_res_hgb_slow,7,1043,275,5,5.702654267495057,11.26361467366008,0.5366000850274855,0.7958091226450478,-1.624097557302394,residual_temporal,True,et_leaf1,hgb_slow,84.0,959.0
residual_T7_top30_source_base-et_leaf1_res-et_leaf3_log1p,top30_source,base_et_leaf1_res_et_leaf3,7,294,275,5,5.702654267495122,11.263614673660197,0.5366000850274757,0.7958091226450478,-1.6240975573023884,residual_temporal,True,et_leaf1,et_leaf3,84.0,210.0
residual_T7_top30_source_base-et_leaf1_res-et_leaf2_log1p,top30_source,base_et_leaf1_res_et_leaf2,7,294,275,5,5.702654267495123,11.263614673660197,0.5366000850274757,0.7958091226450478,-1.6240975573023892,residual_temporal,True,et_leaf1,et_leaf2,84.0,210.0
residual_T7_raw_source_base-et_leaf1_res-et_leaf1_log1p,raw_source,base_et_leaf1_res_et_leaf1,7,1043,275,5,5.702654267495123,11.263614673660197,0.5366000850274757,0.7958091226450478,-1.6240975573023895,residual_temporal,True,et_leaf1,et_leaf1,84.0,959.0
residual_T7_raw_source_base-et_leaf1_res-et_leaf2_log1p,raw_source,base_et_leaf1_res_et_leaf2,7,1043,275,5,5.702654267495123,11.263614673660197,0.5366000850274757,0.7958091226450478,-1.6240975573023895,residual_temporal,True,et_leaf1,et_leaf2,84.0,959.0
residual_T7_raw_source_base-et_leaf1_res-et_leaf3_log1p,raw_source,base_et_leaf1_res_et_leaf3,7,1043,275,5,5.702654267495124,11.263614673660198,0.5366000850274757,0.7958091226450478,-1.6240975573023897,residual_temporal,True,et_leaf1,et_leaf3,84.0,959.0
residual_T7_top30_source_base-et_leaf1_res-et_leaf1_log1p,top30_source,base_et_leaf1_res_et_leaf1,7,294,275,5,5.702654267495124,11.263614673660198,0.5366000850274757,0.7958091226450478,-1.624097557302389,residual_temporal,True,et_leaf1,et_leaf1,84.0,210.0
residual_T7_top30_source_base-et_leaf1_res-rf_leaf2_log1p,top30_source,base_et_leaf1_res_rf_leaf2,7,294,275,5,5.702654267495124,11.2636146736602,0.5366000850274755,0.7958091226450478,-1.624097557302391,residual_temporal,True,et_leaf1,rf_leaf2,84.0,210.0
residual_T7_raw_source_base-et_leaf1_res-rf_leaf2_log1p,raw_source,base_et_leaf1_res_rf_leaf2,7,1043,275,5,5.702654267495123,11.2636146736602,0.5366000850274755,0.7958091226450478,-1.6240975573023904,residual_temporal,True,et_leaf1,rf_leaf2,84.0,959.0
