split_mode,feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,seed,train_frac
chrono,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,PM2.5,-1.4329948453199886,64.57712020753108,39.104516853383544,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,hist_gradient_boosting,PM2.5,-1.5542478148123848,66.16671822082897,40.96079568387074,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,random_forest,PM2.5,-1.5739894742376732,66.42192575150939,50.77459266262625,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,random_forest,PM2.5,-1.6190061020955113,67.00023634042503,52.77304475560581,16825,5462,42,0.8
chrono,T7_tabular_only,hist_gradient_boosting,PM2.5,-2.047865080926832,72.27797036490291,51.84843188720304,16825,5462,42,0.8
chrono,T7_yolo_only,ridge,PM2.5,-4.5353697655661325,97.40503307360825,84.5437125440798,16825,5462,42,0.8
chrono,T7_tabular_plus_road,ridge,PM2.5,-4.614151162245326,98.09573610892491,57.8948264861503,16825,5462,42,0.8
chrono,T7_tabular_only,ridge,PM2.5,-4.90625497622325,100.61533450565615,65.06957171782993,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,ridge,PM2.5,-8.637732912230812,128.5273409919179,97.16333334660152,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,ridge,PM2.5,-10.739691955911807,141.85231578740553,112.61812881721102,16825,5462,42,0.8
chrono,baseline,previous_sequence_persistence,aqi,0.8470684550906742,33.607698809284486,14.633267798009697,16825,5462,42,0.8
chrono,T7_yolo_only,extra_trees,aqi,0.007471861987837003,85.61732454065317,61.03027787649483,16825,5462,42,0.8
chrono,baseline,train_mean,aqi,-0.013351454361925308,86.51079162665144,66.47306083755414,16825,5462,42,0.8
chrono,T7_yolo_only,random_forest,aqi,-0.018631193333649376,86.73586704262004,65.9289145825863,16825,5462,42,0.8
chrono,T7_yolo_only,hist_gradient_boosting,aqi,-0.19850621569438087,94.08283247691178,62.111411411987284,16825,5462,42,0.8
chrono,T7_road_only,extra_trees,aqi,-0.22338746062987447,95.05440570783581,67.54815255467818,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,extra_trees,aqi,-0.293912778691497,97.7558462197139,78.35047082659939,16825,5462,42,0.8
chrono,T7_road_only,random_forest,aqi,-0.29533047552454916,97.8093854594,73.08137509748514,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,extra_trees,aqi,-0.4039749555305263,101.82863424704634,82.16277783729082,16825,5462,42,0.8
chrono,T7_tabular_plus_road,extra_trees,aqi,-0.47274393524916447,104.29268777957333,85.27414061717852,16825,5462,42,0.8
chrono,T7_tabular_only,extra_trees,aqi,-0.507754658053392,105.52505275836472,84.61415603215794,16825,5462,42,0.8
chrono,T7_road_only,hist_gradient_boosting,aqi,-0.5832364083680912,108.13421273655092,78.83550398079485,16825,5462,42,0.8
chrono,T7_tabular_only,random_forest,aqi,-0.8475880976825869,116.813440787541,85.98503555036012,16825,5462,42,0.8
chrono,T7_road_only,ridge,aqi,-0.8894434786845422,118.12918045086244,97.3465595014367,16825,5462,42,0.8
chrono,T7_tabular_plus_road,random_forest,aqi,-1.1664919222648873,126.49366490522885,100.01469738054753,16825,5462,42,0.8
