heldout_date,train_rows,test_rows,embedding_kind,target,target_mode,model,pca_components,alpha,model_label,MAE,RMSE,R2,Pearson,Spearman
2023-12-29,26269,409,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,41.6657208467642,47.726473255454586,-3.6264171112840664,0.0799815164096404,0.12311536208387927
2024-03-01,25588,1090,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,14.490230105793735,19.104275067801932,-0.6029616617413487,-0.02039419704763859,0.002686100264421722
2024-03-01,25588,1090,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,14.462364751725088,19.06980122382441,-0.5971817626127682,-0.020466094333733496,0.0027480644197367884
2024-03-01,25588,1090,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,15.525068320333784,20.105204826623144,-0.7753296819039326,0.0013393754452799512,0.018803179112096776
2024-03-01,25588,1090,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,15.469138612213365,20.035860803361707,-0.7631043701383664,0.0009504715636718965,0.01854175649492544
2024-03-01,25588,1090,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,15.75911645238296,20.473549584862855,-0.8409767321098989,0.0005751569347074469,0.015684149789850377
2024-03-01,25588,1090,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,15.685488183623491,20.37961934904025,-0.8241231130711806,0.00026533667239120627,0.015456693097910049
2024-03-02,25418,1260,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,16.823806375952856,24.29129203873944,-0.30808857182308214,0.24454836850785833,0.3360786390962949
2024-03-02,25418,1260,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,16.77997943712657,24.247389284000914,-0.30336450898502365,0.24457552364269286,0.33592704547819446
2024-03-02,25418,1260,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,18.507255307719262,26.39216139737232,-0.5441370292567096,0.24203437380791165,0.2851028134401871
2024-03-02,25418,1260,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,18.428168332853755,26.287748756913786,-0.5319433708328767,0.24233036655179568,0.28588704196057535
2024-03-02,25418,1260,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,19.533082226942184,27.4574669632365,-0.6713094175378183,0.22046117582730865,0.27346907297502043
2024-03-02,25418,1260,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,19.39950673301989,27.28868554779259,-0.6508254467180057,0.22142314945068195,0.2753118483658635
2024-03-03,24739,1939,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,32.971627400164465,56.30340458090607,-0.5150036518957941,-0.13163386976960093,0.002941985474653255
2024-03-03,24739,1939,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,32.961995672196124,56.29981989587198,-0.514810745691437,-0.13181116704466037,0.0029600429002489084
2024-03-03,24739,1939,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,33.25360429239536,56.64206209522043,-0.5332835548916315,-0.14759283448304794,-0.016449835453719003
2024-03-03,24739,1939,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,33.21735604757127,56.622739985055425,-0.5322376459147296,-0.14792152507831965,-0.016253399196191065
2024-03-03,24739,1939,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,34.835044270966954,57.85709740129392,-0.5997703750380052,-0.1647042655706551,-0.033493164013042566
2024-03-03,24739,1939,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,34.72500434996289,57.77938814546576,-0.5954758810391492,-0.16500694132412416,-0.033212589496090045
2024-03-06,25066,1612,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,31.456519858751196,49.44494022547664,-0.6747858401400728,-0.03891490321699022,-0.011981906813042531
2024-03-06,25066,1612,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,31.419693857818704,49.41570873829786,-0.6728061832031529,-0.038821505678572774,-0.011911981417740242
2024-03-06,25066,1612,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,35.27614335069827,52.425080994641135,-0.8827549071019338,-0.061239214122873295,-0.049669454597168525
2024-03-06,25066,1612,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,35.18107945593443,52.350520809806355,-0.8774033186496892,-0.06105521549543543,-0.049365012883486034
2024-03-06,25066,1612,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,37.20779223945348,53.931041110836944,-0.9924763555408427,-0.05618647684352226,-0.03820176213854655
2024-03-06,25066,1612,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,37.065957124643916,53.82163116565979,-0.984400279156112,-0.05640841873602713,-0.03845268352106648
2024-07-05,24560,2118,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,37.3942604646881,40.089991698181116,-2.731943670950535,0.07550151660735592,-0.0078815414193855
2024-07-05,24560,2118,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,37.397292355278026,40.0876642979918,-2.7315103720688896,0.07554078255193705,-0.007830448360748912
2024-07-05,24560,2118,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,36.38815628953452,39.328402172365664,-2.591499017861906,0.07339471623931401,-0.008189334641827457
2024-07-05,24560,2118,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,36.40405223856311,39.33151282980699,-2.592067175445064,0.07350070993783644,-0.008466290221092014
2024-07-05,24560,2118,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,36.11090276642432,39.291052674951196,-2.584680689104957,0.07392968048714714,0.002891451414452958
2024-07-05,24560,2118,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,36.12468318073334,39.27588790888116,-2.5819141379521557,0.07439438853117902,0.0028713219934864277
2024-07-09,24928,1750,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,31.895675860487103,47.11551854880467,-0.037670018355419055,0.04612834836923488,-0.007489485422440291
